username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0907843,22,8.4,505,256,7,7.14285714286,302
a0326841,16,7.33333333333,446,128,0,0,0
a0109560,2,1.0,598,10,0,0,0
a0325160,10,5.0,440,0,0,0,0
a0947209,16,7.5,673,152,0,0,0
a0749417,0,2.0,746,38,0,0,0
a0360631,16,6.6,566,7,0,0,0
a0606549,24,9.6,427,56,0,0,0
a0648978,0,0,0,22,0,0,0
a8904886,0,1.4,234,93,0,0,0
a9949221,14,7.42857142857,398,344,0,0,0
a0600246,4,1.0,632,273,0,0,0
a0227104,8,3.6,427,291,0,0,0
a0968174,14,6.0,1404,157,0,0,0
a0728417,18,8.6,101,367,0,0,0
a0808364,20,8.88888888889,650,79,1,16.0,127
a0747278,8,4.0,446,7,0,0,0
a0902776,22,7.1,541,123,1,16.0,142
a0900187,4,6.875,925,495,25,26.12,106
a0968190,6,2.71428571429,961,161,0,0,0
a0946588,16,4.1,417,30,1,18.0,49
a0700582,2,1.75,632,10,0,0,0
a0946529,16,8.6,410,9,1,23.0,347
a0325172,16,6.9,291,14,0,0,0
a0907112,8,8.1,651,495,22,10.2727272727,235
a0601848,22,8.4,519,182,0,0,0
a0867884,4,4.2,774,134,0,0,0
a0902209,6,1.8,823,80,0,0,0
a0867886,22,11.2,475,462,0,0,0
a0901421,4,2.33333333333,730,125,0,0,0
a0849296,8,4.0,232,108,2,42.0,1047
a0709904,16,5.3,467,59,4,9.5,327
a0527563,12,3.9,578,90,3,4.66666666667,365
a0027312,2,1.0,537,0,0,0,0
a0748986,14,7.1,648,489,0,0,0
a0453139,6,6.44444444444,446,184,0,0,0
a0440007,8,3.44444444444,495,372,1,16.0,466
a8302652,24,9.5,446,109,0,0,0
a0907060,2,3.28571428571,771,139,3,7.0,5
a0626258,14,6.9,555,7,0,0,0
a0902602,4,3.77777777778,665,130,0,0,0
a0840462,18,8.2,1506,229,1,11.0,292
a0947444,0,1.66666666667,535,48,0,0,0
a0704007,12,6.1,446,7,0,0,0
a0325144,0,0,0,18,0,0,0
a0749005,10,4.14285714286,303,15,0,0,0
a0801553,4,3.0,446,16,0,0,0
a0946809,2,1.0,0,1,0,0,0
a0625655,18,6.33333333333,746,100,0,0,0
a0906298,16,4.6,232,78,1,38.0,0
a0254240,2,1.0,587,15,0,0,0
a0308889,0,1.0,0,0,0,0,0
a0905792,4,2.33333333333,743,20,2,28.0,348
a0361271,18,5.8,232,56,0,0,0
a0847831,0,1.0,0,13,0,0,0
a0848344,6,4.83333333333,273,34,0,0,0
a0909263,4,2.0,470,128,0,0,0
a0967736,4,3.16666666667,0,83,1,8.0,179
a02-0004,2,3.57142857143,503,0,2,19.0,155
a0907134,10,9.0,446,152,0,0,0
a8631408,22,6.3,884,166,12,6.41666666667,123
a0805377,2,2.0,362,62,3,13.0,112
a0802983,22,6.6,689,494,7,30.0,617
a7111759,2,2.0,351,15,0,0,0
a0849579,2,2.71428571429,0,78,0,0,0
a0627517,10,4.7,594,43,0,0,0
a0909811,10,4.6,602,376,0,0,0
a0906419,18,6.88888888889,497,101,3,15.0,497
a9171312,6,3.3,272,78,1,19.0,130
a0947011,14,6.33333333333,234,48,1,24.0,0
a0251335,14,5.7,446,35,0,0,0
a0902150,10,5.0,680,227,3,19.0,0
a0626579,16,5.33333333333,446,7,0,0,0
a0704130,4,1.0,0,10,0,0,0
a0908514,2,1.66666666667,738,45,0,0,0
a0909254,0,1.0,0,0,0,0,0
a0901130,20,8.2,1881,268,0,0,0
a0748716,20,5.4,453,20,0,0,0
a0947423,22,6.3,631,9,0,0,0
a0905002,2,2.77777777778,689,195,0,0,0
a0909232,10,2.8,472,1,0,0,0
a0828773,6,2.22222222222,440,168,3,30.0,3835
a0849311,12,7.1,829,17,1,13.0,531
a0901182,4,2.11111111111,744,44,0,0,0
a0411651,2,2.0,0,44,0,0,0
a0805570,14,6.875,406,108,2,41.0,809
a0904294,8,7.5,667,18,0,0,0
a0901207,2,0,0,0,0,0,0
a0347064,0,3.0,949,309,3,15.6666666667,655
a0902337,14,7.8,609,121,3,43.0,911
a0967968,2,1.375,0,0,0,0,0
a0825528,20,6.6,322,184,4,31.25,0
a9430428,0,0,396,0,0,0,0
a0900767,18,6.8,234,495,1,37.0,901
a0304516,16,4.33333333333,516,491,2,41.0,618
a0849076,16,6.7,1243,491,1,13.0,284
a0404383,16,5.2,232,114,0,0,0
a0547157,14,7.28571428571,798,7,0,0,0
a0902793,4,1.9,521,0,0,0,0
a0747243,18,5.5,406,46,0,0,0
a0901633,6,3.16666666667,629,218,0,0,0
a0967995,12,7.57142857143,406,40,0,0,0
a0908037,18,9.3,527,495,7,13.0,75
a0548657,14,6.0,330,28,0,0,0
a9913255,14,6.7,234,108,0,0,0
a0803615,2,1.5,766,56,0,0,0
a0326428,24,9.2,433,70,0,0,0
a0602891,12,6.0,1669,207,0,0,0
a0605890,14,5.7,232,263,4,20.25,111
a0868098,18,7.9,406,27,0,0,0
a0705475,12,8.2,234,1,0,0,0
a0356132,4,2.0,899,56,0,0,0
a0501987,18,8.5,1690,81,4,23.0,366
a0907090,2,2.6,446,22,0,0,0
a0900656,4,2.33333333333,1517,135,9,25.4444444444,540
a0351972,14,6.4,440,25,0,0,0
a0048243,0,1.0,287,190,0,0,0
a0900465,4,3.14285714286,566,273,4,32.0,46
a0867923,18,5.55555555556,1322,0,0,0,0
a0908233,18,7.7,1316,274,2,44.0,848
a0900891,4,1.6,863,15,3,5.0,144
a0848375,16,8.6,406,150,2,16.0,98
a0026397,20,6.4,406,19,0,0,0
a0807061,14,5.88888888889,420,258,8,13.5,0
a0707935,20,7.5,772,198,1,12.0,679
a0609887,18,8.5,844,491,1,11.0,301
a0849485,10,5.3,622,153,4,9.0,118
a0302810,20,8.11111111111,1302,324,0,0,0
a0900266,2,3.22222222222,815,107,1,37.0,91
a0627993,8,4.8,589,115,0,0,0
a0749040,2,2.0,548,2,0,0,0
a0708589,8,6.66666666667,703,280,0,0,0
a0651610,8,4.4,386,9,0,0,0
a0407817,12,5.44444444444,446,97,2,30.5,220
a0648707,14,7.3,446,170,0,0,0
a0901606,4,1.42857142857,736,10,0,0,0
a0804542,12,5.5,231,65,1,0.0,0
a0625844,16,5.5,1026,94,0,0,0
a0900706,6,2.22222222222,1063,12,0,0,0
a0609260,2,2.0,290,48,0,0,0
a0748908,2,1.9,318,30,0,0,0
a0900079,8,5.33333333333,446,3,0,0,0
a0900078,22,7.6,427,111,2,11.0,435
a0909510,18,9.22222222222,433,34,0,0,0
a0409337,0,1.8,889,6,0,0,0
a9902957,24,11.6,492,276,0,0,0
a0552107,8,5.0,635,19,0,0,0
a0848981,4,2.0,535,0,0,0,0
a0803020,2,1.6,0,0,0,0,0
a0706829,4,3.44444444444,321,110,12,22.3333333333,63
a0706641,18,5.3,263,300,6,2.66666666667,0
a0900170,4,1.66666666667,306,25,0,0,0
a0748762,2,4.25,538,131,0,0,0
a0626238,20,5.6,983,199,6,18.5,111
a0026729,6,3.0,247,135,0,0,0
a0727137,20,7.3,234,421,11,28.0909090909,1528
a0460557,16,6.0,440,26,1,16.0,106
a0306694,20,7.3,499,243,0,0,0
a0746367,0,1.57142857143,644,0,0,0,0
a0626719,2,2.55555555556,630,32,0,0,0
a0947053,0,0,0,0,0,0,0
a0903622,24,11.7,232,495,41,21.0243902439,551
a0901416,20,8.75,463,210,0,0,0
a0903060,14,6.0,486,360,4,26.0,12
a0227118,12,5.4,440,0,0,0,0
a0900364,16,9.22222222222,234,279,8,13.125,308
a0553253,10,8.66666666667,773,156,4,40.0,39
a0427439,22,7.8,566,60,2,0.0,0
a0347735,12,5.3,921,270,0,0,0
a0500549,26,8.0,265,369,5,17.0,1484
a0808547,22,8.3,427,494,6,19.8333333333,79
a0327330,10,5.66666666667,440,10,0,0,0
a0700869,16,5.0,526,52,0,0,0
a0101143,12,5.0,651,45,0,0,0
a0830624,20,5.1,303,7,0,0,0
a8851502,0,1.8,84,71,1,28.0,246
a0726362,4,3.8,1033,491,1,0.0,792
a0904164,2,3.22222222222,443,162,0,0,0
a0600815,0,1.0,466,0,0,0,0
