service,course_id,group_id,person_id,type
Code,1,1,person001,tutor
Code,1,1,person002,lecturer
Code,1,1,person003,lecturer
Code,1,1,person005,lecturer
Code,1,1,someone001,lecturer
Code,1,1,someone002,lecturer
Code,1,1,someone002,tutor
Code,1,1,someone003,lecturer
Code,1,1,someone003,tutor
Code,1,1,someone004,lecturer
Code,1,1,someone004,tutor
Code,3,1,person001,tutor
Code,3,1,person002,lecturer
Code,3,1,person003,lecturer
Code,3,1,person005,lecturer
Code,3,1,someone001,lecturer
Code,3,1,someone002,lecturer
Code,3,1,someone002,tutor
Code,3,1,someone003,lecturer
Code,3,1,someone003,tutor
Code,3,1,someone004,lecturer
Code,3,1,someone004,tutor
Code,5,1,person001,tutor
Code,5,1,person002,lecturer
Code,5,1,person003,lecturer
Code,5,1,person005,lecturer
Code,5,1,someone001,lecturer
Code,5,1,someone002,lecturer
Code,5,1,someone002,tutor
Code,5,1,someone003,lecturer
Code,5,1,someone003,tutor
Code,5,1,someone004,lecturer
Code,5,1,someone004,tutor
